
2024/ 5/21, 13:48:35 
Generation	Indiv No.	Fitness(Best)	Fitness(Ave.)	Genotype	

2024/ 5/21, 14:49:13 
Generation	Indiv No.	Fitness(Best)	Fitness(Ave.)	Genotype	
77	0	21.000000	18.375000	10100000001101110011
78	0	21.000000	10.500000	10100000001101110011
79	0	21.000000	10.500000	10100000001101110011
80	0	21.000000	15.750000	10100000001101110011
81	0	21.000000	15.750000	10100000001101110011
82	0	21.000000	18.375000	10100000001101110011
83	0	21.000000	15.750000	10100000001101110011
84	0	21.000000	15.750000	10100000001101110011
85	0	21.000000	10.500000	10100000001101110011
86	0	21.000000	15.750000	10100000001101110011
87	0	21.000000	21.000000	10100000001101110011
88	0	21.000000	13.125000	10100000001101110011
89	0	21.000000	15.750000	10100000001101110011
90	0	21.000000	15.750000	10100000001101110011
91	0	21.000000	15.750000	10100000001101110011
92	0	21.000000	13.125000	10100000001101110011
93	0	21.000000	18.375000	10100000001101110011
94	0	21.000000	18.375000	10100000001101110011
95	0	21.000000	18.375000	10100000001101110011
96	0	21.000000	15.750000	10100000001101110011
97	0	21.000000	15.750000	10100000001101110011
98	0	21.000000	10.500000	10100000001101110011
99	0	21.000000	13.125000	10100000001101110011

2024/ 5/24, 12:44:12 
Generation	Indiv No.	Fitness(Best)	Fitness(Ave.)	Genotype	
0	2	21.000000	13.125000	11011000111000011101
1	0	21.000000	10.500000	11011000111000011101
2	0	21.000000	13.125000	11011000111000011101
3	0	21.000000	15.750000	11011000111000011101
4	0	21.000000	10.500000	11011000111000011101
5	0	21.000000	15.750000	11011000111000011101
6	0	21.000000	15.750000	11011000111000011101
7	0	21.000000	21.000000	11011000111000011101
8	0	21.000000	21.000000	11011000111000011101
9	0	21.000000	21.000000	11011000111000011101
10	0	21.000000	10.500000	11011000111000011101
11	0	21.000000	13.125000	11011000111000011101
12	0	21.000000	13.125000	11011000111000011101
13	0	21.000000	13.125000	11011000111000011101
14	0	21.000000	15.750000	11011000111000011101
15	0	21.000000	10.500000	11011000111000011101
16	0	21.000000	15.750000	11011000111000011101
17	0	21.000000	13.125000	11011000111000011101
18	0	21.000000	18.375000	11011000111000011101
19	0	21.000000	13.125000	11011000111000011101
20	0	21.000000	13.125000	11011000111000011101
21	0	21.000000	15.750000	11011000111000011101
22	0	21.000000	15.750000	11011000111000011101
23	0	21.000000	21.000000	11011000111000011101
24	0	21.000000	18.375000	11011000111000011101
25	0	21.000000	18.375000	11011000111000011101
26	0	21.000000	15.750000	11011000111000011101
27	0	21.000000	15.750000	11011000111000011101
28	0	21.000000	13.125000	11011000111000011101
